TRX_ID,TRX_TS,PRODUCT_ID,PRODUCT_NAME,PRICE
85,5/31/2017 21:06,226,Tuna Fish Sandwich,36000
85,5/31/2017 21:06,227,Club Sandwich + Free Coffee,44000
85,5/31/2017 21:06,233,Rawon,36000
85,5/31/2017 21:06,234,Soto Madura,48000
85,5/31/2017 21:06,263,Cappucino,32000
85,5/31/2017 21:06,268,Macchiato,26000
85,5/31/2017 21:06,268,Macchiato,26000
85,5/31/2017 21:06,268,Macchiato,26000
86,06/02/2017 21.06,234,Soto Madura,48000
86,06/02/2017 21.06,234,Soto Madura,48000
86,06/02/2017 21.06,302,Fresh Orange Juice,34000
86,06/02/2017 21.06,306,Air Mineral,8000
87,06/03/2017 07.57,227,Club Sandwich + Free Coffee,44000
87,06/03/2017 07.57,234,Soto Madura,48000
88,06/03/2017 07.59,214,Toast Chocolate ,22000
88,06/03/2017 07.59,263,Cappucino,32000
89,06/03/2017 08.02,231,Nasi Goreng Jawa,33000
89,06/03/2017 08.02,235,Sate Ayam,36000
89,06/03/2017 08.02,236,Nasi Putih,7000
89,06/03/2017 08.02,306,Air Mineral,8000
89,06/03/2017 08.02,306,Air Mineral,8000
90,06/03/2017 08.05,263,Cappucino,32000
90,06/03/2017 08.05,266,Cafe Latte + Hazelnut,35000
91,06/03/2017 08.06,268,Macchiato,26000
92,06/03/2017 08.06,266,Cafe Latte + Hazelnut,35000
93,06/03/2017 08.09,228,Bakmi Godog Keju,30000
93,06/03/2017 08.09,290,Vanilla Milk Shake,35000
93,06/03/2017 08.09,296,Ice Cream Strawberry,32000
93,06/03/2017 08.09,296,Ice Cream Strawberry,32000
94,06/03/2017 08.11,232,Bakmi Goreng Seafood,36000
94,06/03/2017 08.11,233,Rawon,36000
94,06/03/2017 08.11,285,Ice Lychee Tea,26000
94,06/03/2017 08.11,286,A&W Root Beer & Vanila Float,26000
94,06/03/2017 08.11,293,Green Tea Milk Shake,39000
94,06/03/2017 08.11,293,Green Tea Milk Shake,39000
95,06/03/2017 08.12,230,Bihun Godog Rawit,30000
95,06/03/2017 08.12,238,Nasi Capcay Seafood Goreng,39000
95,06/03/2017 08.12,240,Beef Burger XL,38000
95,06/03/2017 08.12,286,A&W Root Beer & Vanila Float,26000
96,06/03/2017 08.14,239,Spaghetti Bolognese,38000
96,06/03/2017 08.14,247,Vegetable Omelette,30000
96,06/03/2017 08.14,293,Green Tea Milk Shake,39000
97,06/03/2017 08.16,233,Rawon,36000
97,06/03/2017 08.16,234,Soto Madura,48000
97,06/03/2017 08.16,236,Nasi Putih,7000
97,06/03/2017 08.16,236,Nasi Putih,7000
97,06/03/2017 08.16,302,Fresh Orange Juice,34000
97,06/03/2017 08.16,306,Air Mineral,8000
97,06/03/2017 08.16,306,Air Mineral,8000
97,06/03/2017 08.16,306,Air Mineral,8000
98,06/03/2017 08.20,290,Vanilla Milk Shake,35000
98,06/03/2017 08.20,292,Coconut Milk Shake,35000
99,06/03/2017 08.28,230,Bihun Godog Rawit,30000
99,06/03/2017 08.28,231,Nasi Goreng Jawa,33000
